,Date,Team,Cash,Tickets,Cash Sides,Ticket Sides,Open ML,Current ML,Delta,ML Delta
100,4:35 PM,NY Rangers,72%,76%,72%,76%,-1½+175,-1½+210,-4.0,-35.0
101,-,-,-,-,-,-,-,-,-,-
102,2/27/22,NY Islanders,u53%,o66%,10%,18%,+1½-275,+1½-240,-8.0,35.0
103,5:35 PM,Anaheim,90%,82%,90%,82%,-1½+230,-1½+200,8.0,30.0
104,-,-,-,-,-,-,-,-,-,-
105,2/27/22,Seattle,u64%,o73%,12%,17%,+1½-250,+1½-220,-5.0,30.0
106,7:05 PM,San Jose,88%,83%,88%,83%,-1½+210,-1½+190,5.0,20.0
107,-,-,-,-,-,-,-,-,-,-
108,2/28/22,Pacers,-,-,-,-,,,-,-
109,4:10 PM,Magic,-,-,-,-,,,-,-
110,-,-,-,-,-,-,-,-,-,-
111,2/28/22,T'wolves,-,-,-,-,,,-,-
112,4:10 PM,Cavaliers,-,-,-,-,,,-,-
113,-,-,-,-,-,-,-,-,-,-
114,2/28/22,Raptors,-,-,-,-,,,-,-
115,4:40 PM,Nets,-,-,-,-,,,-,-
116,-,-,-,-,-,-,-,-,-,-
117,2/28/22,Bulls,-,-,-,-,,,-,-
118,4:40 PM,Heat,-,-,-,-,,,-,-
119,-,-,-,-,-,-,-,-,-,-
120,2/28/22,Spurs,-,-,-,-,,,-,-
121,5:10 PM,Grizzlies,-,-,-,-,,,-,-
122,-,-,-,-,-,-,-,-,-,-
123,2/28/22,Hornets,-,-,-,-,,,-,-
124,5:10 PM,Bucks,-,-,-,-,,,-,-
125,-,-,-,-,-,-,-,-,-,-
126,2/28/22,Kings,-,-,-,-,,,-,-
127,5:10 PM,Thunder,-,-,-,-,,,-,-
128,-,-,-,-,-,-,-,-,-,-
129,2/28/22,Syracuse,-,-,-,-,,,-,-
130,4:00 PM,North Carolina,-,-,-,-,,,-,-
131,-,-,-,-,-,-,-,-,-,-
132,2/28/22,Coll of Charleston,-,-,-,-,,,-,-
133,4:00 PM,Hofstra,-,-,-,-,,,-,-
